id,video_path,duration_sec,first,middle,last,sparse,contact_sheet,error
vdcr_commons_mr14_000003,media/vdcr_commons_manual_round14_v1/vdcr_commons_mr14_000003.ogv,35.600,ok,ok,ok,8,ok,
vdcr_commons_mr14_000004,media/vdcr_commons_manual_round14_v1/vdcr_commons_mr14_000004.ogv,16.667,ok,ok,ok,8,ok,
vdcr_commons_mr15_000001,media/vdcr_commons_manual_round15_v1/vdcr_commons_mr15_000001.gif,2.100,ok,ok,ok,8,ok,
vdcr_commons_mr15_000002,media/vdcr_commons_manual_round15_v1/vdcr_commons_mr15_000002.ogv,26.727,ok,ok,ok,8,ok,
vdcr_commons_mr15_000003,media/vdcr_commons_manual_round15_v1/vdcr_commons_mr15_000003.ogv,7.133,ok,ok,ok,8,ok,
vdcr_commons_mr15_000004,media/vdcr_commons_manual_round15_v1/vdcr_commons_mr15_000004.mp4,130.563,ok,ok,ok,8,ok,
vdcr_commons_mr15_000005,media/vdcr_commons_manual_round15_v1/vdcr_commons_mr15_000005.ogv,50.880,ok,ok,ok,8,ok,
vdcr_commons_mr16_000001,media/vdcr_commons_manual_round16_v1/vdcr_commons_mr16_000001.webm,15.206,ok,ok,ok,8,ok,
vdcr_commons_mr16_000002,media/vdcr_commons_manual_round16_v1/vdcr_commons_mr16_000002.webm,66.048,ok,ok,ok,8,ok,
vdcr_commons_mr17_000001,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000001.webm,29.607,ok,ok,ok,8,ok,
vdcr_commons_mr17_000002,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000002.webm,31.371,ok,ok,ok,8,ok,
vdcr_commons_mr17_000003,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000003.ogv,15.113,ok,ok,ok,8,ok,
vdcr_commons_mr17_000004,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000004.gif,1.600,ok,ok,missing,7,ok,partial_frame_extraction
vdcr_commons_mr17_000005,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000005.webm,29.810,ok,ok,ok,8,ok,
vdcr_commons_mr17_000006,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000006.webm,36.218,ok,ok,ok,8,ok,
vdcr_commons_mr17_000007,media/vdcr_commons_manual_round17_v1/vdcr_commons_mr17_000007.ogv,4.000,ok,ok,ok,8,ok,
vdcr_commons_mr18_000001,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000001.ogv,5.600,ok,ok,ok,8,ok,
vdcr_commons_mr18_000002,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000002.webm,24.307,ok,ok,ok,8,ok,
vdcr_commons_mr18_000003,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000003.avi,24.000,ok,ok,ok,8,ok,
vdcr_commons_mr18_000004,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000004.ogv,20.787,ok,ok,ok,8,ok,
vdcr_commons_mr18_000005,media/vdcr_commons_manual_round18_v1/vdcr_commons_mr18_000005.mp4,3.900,ok,ok,ok,8,ok,
vdcr_commons_mr19_000001,media/vdcr_commons_manual_round19_v1/vdcr_commons_mr19_000001.gif,0.100,ok,ok,ok,8,ok,
vdcr_commons_mr19_000002,media/vdcr_commons_manual_round19_v1/vdcr_commons_mr19_000002.webm,11.740,ok,ok,ok,8,ok,
vdcr_commons_mr19_000003,media/vdcr_commons_manual_round19_v1/vdcr_commons_mr19_000003.ogv,3.000,ok,ok,ok,8,ok,
